"question_id","category","condition","question_text","ground_truth_answer","llm_answer","source_priority_note","answer_correctness","scorer_notes"
"M2-09","M2","RAG-AuthAware","Does my financial aid get affected if I change my major?","Changing a major does not directly affect federal aid eligibility, but it can affect the maximum timeframe standard. Students must complete their program within 150% of the published program length. A major change that adds required credits may push a student closer to the 150% limit.","The context provided does not contain information regarding how changing a major affects financial aid. Therefore, I cannot answer your question based on the available information.","federal-primary (priority 1)","",""
"M2-10","M2","Baseline-LLM","What happens to my financial aid if I take a semester off?","Taking a leave of absence may trigger the grace period on federal loans and affect SAP status depending on how the institution counts the leave. Pell Grant eligibility resumes when the student re-enrolls. The student must re-establish eligibility if they were placed on SAP suspension.","The context does not provide information about what happens to financial aid if you take a semester off.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M2-10","M2","RAG-Standard","What happens to my financial aid if I take a semester off?","Taking a leave of absence may trigger the grace period on federal loans and affect SAP status depending on how the institution counts the leave. Pell Grant eligibility resumes when the student re-enrolls. The student must re-establish eligibility if they were placed on SAP suspension.","The context does not provide specific information about what happens to financial aid if you take a semester off. Therefore, I cannot answer your question clearly based on the provided information.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M2-10","M2","RAG-AuthAware","What happens to my financial aid if I take a semester off?","Taking a leave of absence may trigger the grace period on federal loans and affect SAP status depending on how the institution counts the leave. Pell Grant eligibility resumes when the student re-enrolls. The student must re-establish eligibility if they were placed on SAP suspension.","The context does not provide specific information about what happens to financial aid if a student takes a semester off. Therefore, I cannot answer your question clearly based on the provided information.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M2-11","M2","Baseline-LLM","Can a graduate student get a Pell Grant?","No. Federal Pell Grants are available only to undergraduate students who have not yet earned a bachelor's or professional degree. Graduate students are not eligible.","No, graduate students are not eligible for Pell Grants. Pell Grants are typically awarded only to undergraduate students who demonstrate financial need.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-11","M2","RAG-Standard","Can a graduate student get a Pell Grant?","No. Federal Pell Grants are available only to undergraduate students who have not yet earned a bachelor's or professional degree. Graduate students are not eligible.","No, a graduate student cannot get a Pell Grant. Pell Grants are generally awarded only to undergraduate students who have not earned a bachelor's, graduate, or professional degree.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-11","M2","RAG-AuthAware","Can a graduate student get a Pell Grant?","No. Federal Pell Grants are available only to undergraduate students who have not yet earned a bachelor's or professional degree. Graduate students are not eligible.","No, a graduate student cannot get a Pell Grant. Pell Grants are usually awarded only to undergraduate students who have not earned a bachelor's, graduate, or professional degree.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-12","M2","Baseline-LLM","How do I know if I qualify for a subsidized loan versus an unsubsidized loan?","Subsidized loan eligibility requires demonstrated financial need (COA minus SAI greater than zero) and enrollment at least half-time. Unsubsidized loans are available to eligible students regardless of financial need. Both require the student to be enrolled at least half-time in a degree or certificate program.","The context does not provide specific information on how to determine qualification for subsidized versus unsubsidized loans. Therefore, I cannot answer your question based on the provided information.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-12","M2","RAG-Standard","How do I know if I qualify for a subsidized loan versus an unsubsidized loan?","Subsidized loan eligibility requires demonstrated financial need (COA minus SAI greater than zero) and enrollment at least half-time. Unsubsidized loans are available to eligible students regardless of financial need. Both require the student to be enrolled at least half-time in a degree or certificate program.","To determine if you qualify for a Direct Subsidized Loan versus a Direct Unsubsidized Loan, your eligibility for a Direct Subsidized Loan is based on your financial need, which is calculated by subtracting your Student Aid Index (SAI) from your Cost of Attendance (COA). If you demonstrate financial need, you may qualify for a Direct Subsidized Loan. 

In contrast, eligibility for a Direct Unsubsidized Loan is not based on financial need; it is determined by subtracting other financial assistance (OFA) from the COA. Therefore, you can qualify for a Direct Unsubsidized Loan regardless of your financial need status. 

If you have received a determination of need for a Direct Subsidized Loan that is $200 or less, you may have the option to include that amount as part of a Direct Unsubsidized Loan instead of originating a separate Direct Subsidized Loan.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-12","M2","RAG-AuthAware","How do I know if I qualify for a subsidized loan versus an unsubsidized loan?","Subsidized loan eligibility requires demonstrated financial need (COA minus SAI greater than zero) and enrollment at least half-time. Unsubsidized loans are available to eligible students regardless of financial need. Both require the student to be enrolled at least half-time in a degree or certificate program.","To determine if you qualify for a Direct Subsidized Loan versus a Direct Unsubsidized Loan, your school must first assess your financial need. This is typically done by calculating your Cost of Attendance (COA) and your Student Aid Index (SAI). 

1. **Direct Subsidized Loan**: You qualify for a Direct Subsidized Loan if you demonstrate financial need, which is calculated as COA minus your SAI. If you are eligible, the school will offer you this loan first.

2. **Direct Unsubsidized Loan**: If you do not qualify for a Direct Subsidized Loan, or if you have already received the maximum amount of a Direct Subsidized Loan, you may be eligible for a Direct Unsubsidized Loan. Eligibility for this loan is determined by subtracting any other financial aid (excluding the SAI) from the COA.

In summary, eligibility for a Direct Subsidized Loan is based on financial need, while eligibility for a Direct Unsubsidized Loan is based on the COA minus other financial assistance.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-13","M2","Baseline-LLM","If my family's financial situation gets worse after I submit my FAFSA, can I get more aid?","Yes. Students or families who experience significant changes in financial circumstances after filing the FAFSA can contact their school's financial aid office to request a professional judgment review. The aid administrator may adjust the SAI or Cost of Attendance based on documented special circumstances.","The context does not provide information about what happens if your family's financial situation worsens after submitting the FAFSA. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"M2-13","M2","RAG-Standard","If my family's financial situation gets worse after I submit my FAFSA, can I get more aid?","Yes. Students or families who experience significant changes in financial circumstances after filing the FAFSA can contact their school's financial aid office to request a professional judgment review. The aid administrator may adjust the SAI or Cost of Attendance based on documented special circumstances.","Yes, if your family's financial situation worsens after you submit your FAFSA, you may be able to request an adjustment for unusual circumstances. Financial aid administrators have the authority to exercise professional judgment in such cases, which could potentially lead to an increase in your financial aid. You will need to provide documentation to support your request.","federal-primary (priority 1)","",""
"M2-13","M2","RAG-AuthAware","If my family's financial situation gets worse after I submit my FAFSA, can I get more aid?","Yes. Students or families who experience significant changes in financial circumstances after filing the FAFSA can contact their school's financial aid office to request a professional judgment review. The aid administrator may adjust the SAI or Cost of Attendance based on documented special circumstances.","Yes, if your family's financial situation worsens after you submit your FAFSA, you may be able to request an adjustment for unusual circumstances. Financial aid administrators have the authority to exercise professional judgment during such situations, which may allow for a reassessment of your financial aid eligibility. You will need to provide documentation to support your request.","federal-primary (priority 1)","",""
"M2-14","M2","Baseline-LLM","Can I get financial aid if I already have a bachelor's degree and I'm going back for a second one?","Generally no for Pell Grants — Pell Grant eligibility ends once a student has earned a bachelor's degree. Direct Loans may still be available depending on aggregate limits and program eligibility. Work-Study may also be available.","The context does not provide specific information about eligibility for financial aid for individuals pursuing a second bachelor's degree. Therefore, I cannot answer your question based on the provided information.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-14","M2","RAG-Standard","Can I get financial aid if I already have a bachelor's degree and I'm going back for a second one?","Generally no for Pell Grants — Pell Grant eligibility ends once a student has earned a bachelor's degree. Direct Loans may still be available depending on aggregate limits and program eligibility. Work-Study may also be available.","Yes, you can receive Federal Work-Study (FWS) wages to pursue an additional undergraduate degree if you already have a bachelor's degree. However, you will not be eligible for Federal Supplemental Educational Opportunity Grants (FSEOG) since only undergraduate students who do not have a baccalaureate or first professional degree are eligible for FSEOG.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-14","M2","RAG-AuthAware","Can I get financial aid if I already have a bachelor's degree and I'm going back for a second one?","Generally no for Pell Grants — Pell Grant eligibility ends once a student has earned a bachelor's degree. Direct Loans may still be available depending on aggregate limits and program eligibility. Work-Study may also be available.","Yes, you can receive Federal Work-Study (FWS) wages to pursue an additional undergraduate degree if you already have a bachelor's degree. However, you are not eligible for Federal Supplemental Educational Opportunity Grants (FSEOG) since you have already earned a bachelor's or first professional degree.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-15","M2","Baseline-LLM","Will getting married change how much financial aid I get?","Yes, for independent students. Marriage changes dependency status — a married student is considered independent regardless of age. This means parental income is no longer included in the SAI calculation, which can significantly change aid eligibility.","The context does not provide specific information about how getting married may affect financial aid. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"M2-15","M2","RAG-Standard","Will getting married change how much financial aid I get?","Yes, for independent students. Marriage changes dependency status — a married student is considered independent regardless of age. This means parental income is no longer included in the SAI calculation, which can significantly change aid eligibility.","Getting married can potentially change how much financial aid you receive, as your marital status affects your dependency status and the information reported on your FAFSA form. If you are a dependent student and your parent marries or remarries, you must update your family size to include the new stepparent, but you would not count the stepparent’s income and assets. If you are an independent student, your spouse's income and assets will be considered in determining your financial aid eligibility. However, the specific impact on your financial aid amount would depend on your overall financial situation and the calculations made by the financial aid administrator.","federal-primary (priority 1)","",""
"M2-15","M2","RAG-AuthAware","Will getting married change how much financial aid I get?","Yes, for independent students. Marriage changes dependency status — a married student is considered independent regardless of age. This means parental income is no longer included in the SAI calculation, which can significantly change aid eligibility.","The context does not provide enough information to determine if getting married will change how much financial aid you receive. It mentions that marital status can affect dependency status and the information reported on the FAFSA, but it does not specify how this change would impact financial aid amounts.","federal-primary (priority 1)","",""
"M3-01","M3","Baseline-LLM","Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?","Yes. All three can be awarded simultaneously. Total need-based aid cannot exceed the student's financial need (COA minus SAI). Total aid from all sources cannot exceed the Cost of Attendance.","Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. The specific amounts depend on your financial need, the cost of attendance at your school, and other factors. It's important to check with your school's financial aid office for details on the limits that apply to your situation.","federal-primary (priority 1)","",""
"M3-01","M3","RAG-Standard","Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?","Yes. All three can be awarded simultaneously. Total need-based aid cannot exceed the student's financial need (COA minus SAI). Total aid from all sources cannot exceed the Cost of Attendance.","Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. 

For the Pell Grant, the maximum award for the 2026–27 award year is $7,395, but the amount you receive will depend on various factors such as your Student Aid Index and cost of attendance. 

For Work-Study, your total award depends on when you apply, your level of financial need, and your school's funding level. 

For loans, there are aggregate limits based on your level of education (undergraduate or graduate) and whether you have received subsidized loans. If your total loan amount exceeds the aggregate limit for your level, you won't be eligible for additional loans.

It's important to consult your school's financial aid office for specific details regarding your eligibility and the total amounts you can receive.","federal-primary (priority 1)","",""
"M3-01","M3","RAG-AuthAware","Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?","Yes. All three can be awarded simultaneously. Total need-based aid cannot exceed the student's financial need (COA minus SAI). Total aid from all sources cannot exceed the Cost of Attendance.","Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. The amount of your Pell Grant will depend on your eligibility and the cost of attendance at your school. For loans, there are aggregate limits based on your level of education (undergraduate or graduate) and whether you have reached the lifetime loan limit. Additionally, your total work-study award will depend on your financial need and your school's funding level. It's important to consult your school's financial aid office for specific details regarding your eligibility and limits.","federal-primary (priority 1)","",""
"M3-02","M3","Baseline-LLM","What happens to my loans and scholarship if I drop below half-time or withdraw from school?","Federal Direct Loan grace periods begin. Subsidized loan interest starts accruing after the grace period ends. Return of Title IV funds calculations may require repayment of a portion of aid. University scholarship eligibility depends on institutional enrollment requirements.","The context does not provide specific information about what happens to loans and scholarships if you drop below half-time or withdraw from school. Therefore, I cannot answer your question.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-02","M3","RAG-Standard","What happens to my loans and scholarship if I drop below half-time or withdraw from school?","Federal Direct Loan grace periods begin. Subsidized loan interest starts accruing after the grace period ends. Return of Title IV funds calculations may require repayment of a portion of aid. University scholarship eligibility depends on institutional enrollment requirements.","The context provided does not contain specific information about the impact on scholarships if you drop below half-time or withdraw from school. However, it does explain that if you withdraw from a non-term credit-hour or clock-hour program and then re-enter the same program within 180 days, you may regain eligibility for Title IV aid, including loans, as if you had not ceased attendance. If you received a Direct Loan and withdraw but re-enroll before the grace period expires, you regain in-school status and will receive a full grace period upon graduation or ceasing half-time enrollment. 

For detailed information regarding scholarships, you would need to consult your school's financial aid office or the specific scholarship guidelines.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-02","M3","RAG-AuthAware","What happens to my loans and scholarship if I drop below half-time or withdraw from school?","Federal Direct Loan grace periods begin. Subsidized loan interest starts accruing after the grace period ends. Return of Title IV funds calculations may require repayment of a portion of aid. University scholarship eligibility depends on institutional enrollment requirements.","The context does not provide specific information about the impact on scholarships if you drop below half-time or withdraw from school. However, it does mention that if you withdraw from a program and then re-enter within 180 days, you may regain in-school status for Direct Loans if you enroll at least half-time before the grace period expires. Additionally, if you received a Direct Loan and withdraw after the first disbursement but before the second, the school must extend the loan period and reschedule the second disbursement, holding you to the same disbursement requirements as initially applied. 

For a complete understanding of how dropping below half-time or withdrawing affects your loans and scholarships, you may need to consult your school's financial aid office or the specific terms of your scholarship.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-03","M3","Baseline-LLM","I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?","Non-tax-filers can still complete the FAFSA. The FA-DDX will attempt to pull IRS data; if none exists, the student may need to provide additional documentation. Aid eligibility is based on the SAI calculated from reported income. First-generation students may also be eligible for TRIO and other support programs.","If your parents do not file taxes, you can still complete the FAFSA. You will need to indicate that your parents did not file taxes on the form. In this case, you may be required to provide additional documentation to verify your family's income, such as a signed statement from your parents or other financial records. This situation may affect your eligibility for certain types of aid, but you can still apply for federal student aid. It's important to check with your school's financial aid office for specific guidance on how to proceed.","federal-primary (priority 1) + professional (priority 3)","",""
"M3-03","M3","RAG-Standard","I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?","Non-tax-filers can still complete the FAFSA. The FA-DDX will attempt to pull IRS data; if none exists, the student may need to provide additional documentation. Aid eligibility is based on the SAI calculated from reported income. First-generation students may also be eligible for TRIO and other support programs.","The context does not provide specific information about how not filing taxes affects your FAFSA and financial aid eligibility. Therefore, I cannot answer your question clearly based on the provided information.","federal-primary (priority 1) + professional (priority 3)","",""
"M3-03","M3","RAG-AuthAware","I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?","Non-tax-filers can still complete the FAFSA. The FA-DDX will attempt to pull IRS data; if none exists, the student may need to provide additional documentation. Aid eligibility is based on the SAI calculated from reported income. First-generation students may also be eligible for TRIO and other support programs.","The context does not provide specific information about how not filing taxes affects your FAFSA and aid eligibility. Therefore, I cannot answer your question clearly based on the provided information.","federal-primary (priority 1) + professional (priority 3)","",""
"M3-04","M3","Baseline-LLM","Can I appeal if my financial aid gets cut off because of my grades?","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","The context does not provide information about appealing financial aid decisions related to grades. Therefore, I cannot answer your question.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-04","M3","RAG-Standard","Can I appeal if my financial aid gets cut off because of my grades?","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","Yes, you can appeal if your financial aid gets cut off because you did not meet the progress requirements due to special circumstances. You will need to demonstrate unusual circumstances beyond your control and explain what has changed in your situation. If your appeal is approved, you may need to meet the requirements of an individual academic plan to continue receiving financial aid.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-04","M3","RAG-AuthAware","Can I appeal if my financial aid gets cut off because of my grades?","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","Yes, you can appeal if your financial aid gets cut off because of your grades. You will need to demonstrate unusual circumstances beyond your control that are not likely to recur in the immediate future and explain what has changed in your situation so that you will now be able to make academic progress. If your appeal is approved, you will need to meet the requirements of an individual academic plan to continue receiving financial aid.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-05","M3","Baseline-LLM","How is the amount of my financial aid package decided — who decides what I get?","The school's financial aid office determines the aid package. It starts with the Cost of Attendance (set by the school), subtracts the SAI (calculated from FAFSA data), and packages aid up to the resulting financial need using available federal, state, and institutional funds, subject to program limits.","The amount of your financial aid package is determined by the financial aid office at your school. They consider various factors, including your financial need, the cost of attendance, and the availability of funds.","federal-primary (priority 1)","",""
"M3-05","M3","RAG-Standard","How is the amount of my financial aid package decided — who decides what I get?","The school's financial aid office determines the aid package. It starts with the Cost of Attendance (set by the school), subtracts the SAI (calculated from FAFSA data), and packages aid up to the resulting financial need using available federal, state, and institutional funds, subject to program limits.","The financial aid office at your college or career school determines how much aid you are eligible to receive. They start by calculating your cost of attendance (COA) and then review your Student Aid Index (SAI). They subtract your SAI from your COA to determine your financial need and how much need-based aid you can receive.","federal-primary (priority 1)","",""
"M3-05","M3","RAG-AuthAware","How is the amount of my financial aid package decided — who decides what I get?","The school's financial aid office determines the aid package. It starts with the Cost of Attendance (set by the school), subtracts the SAI (calculated from FAFSA data), and packages aid up to the resulting financial need using available federal, state, and institutional funds, subject to program limits.","The financial aid office at your college or career school determines how much aid you are eligible to receive. They use several pieces of information, including your Student Aid Index (SAI), your year in school, your enrollment status, and the cost of attendance (COA) at the school you will be attending.","federal-primary (priority 1)","",""
"M3-06","M3","Baseline-LLM","My financial aid refund check is late — when is the school supposed to pay me and what are my rights?","Schools must disburse Title IV aid within specific timeframes and must provide credit balance refunds to students within 14 days of the credit balance occurring. Students have the right to hold credit balances at the institution or have them returned.","The context provided does not contain specific information about the timing of financial aid refund checks or your rights regarding them. Therefore, I cannot provide an answer to your question.","federal-primary (priority 1)","",""
"M3-06","M3","RAG-Standard","My financial aid refund check is late — when is the school supposed to pay me and what are my rights?","Schools must disburse Title IV aid within specific timeframes and must provide credit balance refunds to students within 14 days of the credit balance occurring. Students have the right to hold credit balances at the institution or have them returned.","The context does not provide specific information about the timing of financial aid refund checks or your rights regarding late payments. Therefore, I cannot answer your question clearly based on the provided information.","federal-primary (priority 1)","",""
"M3-06","M3","RAG-AuthAware","My financial aid refund check is late — when is the school supposed to pay me and what are my rights?","Schools must disburse Title IV aid within specific timeframes and must provide credit balance refunds to students within 14 days of the credit balance occurring. Students have the right to hold credit balances at the institution or have them returned.","The context provided does not contain specific information about the timing of financial aid refund checks or the rights of students regarding late payments. Therefore, I cannot answer your question based on the information available.","federal-primary (priority 1)","",""
"M3-07","M3","Baseline-LLM","Can I use financial aid to pay for an online degree program?","Yes, if the institution and program are Title IV eligible. Online programs at accredited institutions can qualify for Pell Grants, Direct Loans, and Work-Study. Distance education programs must meet specific requirements around regular and substantive interaction.","The context does not provide information about using financial aid for online degree programs. Therefore, I cannot answer your question.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M3-07","M3","RAG-Standard","Can I use financial aid to pay for an online degree program?","Yes, if the institution and program are Title IV eligible. Online programs at accredited institutions can qualify for Pell Grants, Direct Loans, and Work-Study. Distance education programs must meet specific requirements around regular and substantive interaction.","The context does not provide enough information to answer whether financial aid can be used to pay for an online degree program.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M3-07","M3","RAG-AuthAware","Can I use financial aid to pay for an online degree program?","Yes, if the institution and program are Title IV eligible. Online programs at accredited institutions can qualify for Pell Grants, Direct Loans, and Work-Study. Distance education programs must meet specific requirements around regular and substantive interaction.","The context does not provide specific information about the eligibility of financial aid for online degree programs. Therefore, I cannot answer your question clearly based on the provided information.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M3-08","M3","Baseline-LLM","I got more financial aid than I needed and spent it — do I have to pay any of it back if I withdraw?","Yes, potentially. If a student withdraws before completing 60% of the payment period, a Return of Title IV Funds (R2T4) calculation determines how much aid was earned. Unearned aid must be returned by the school and possibly by the student. The order of return follows federal priority: unsubsidized loans, subsidized loans, Pell Grants, other grants.","The context does not provide specific information about the repayment of financial aid if you withdraw after receiving more aid than needed. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"M3-08","M3","RAG-Standard","I got more financial aid than I needed and spent it — do I have to pay any of it back if I withdraw?","Yes, potentially. If a student withdraws before completing 60% of the payment period, a Return of Title IV Funds (R2T4) calculation determines how much aid was earned. Unearned aid must be returned by the school and possibly by the student. The order of return follows federal priority: unsubsidized loans, subsidized loans, Pell Grants, other grants.","If you received more financial aid than you were eligible for, this is considered an overpayment. When you withdraw from a payment period or period of enrollment, the school must determine the amount of Title IV funds you have earned based on the time you spent in attendance. If you withdraw completely, you may have to repay any unearned Title IV funds. Therefore, whether you have to pay back any of the financial aid depends on the specific circumstances of your withdrawal and the amount of aid you earned.","federal-primary (priority 1)","",""
"M3-08","M3","RAG-AuthAware","I got more financial aid than I needed and spent it — do I have to pay any of it back if I withdraw?","Yes, potentially. If a student withdraws before completing 60% of the payment period, a Return of Title IV Funds (R2T4) calculation determines how much aid was earned. Unearned aid must be returned by the school and possibly by the student. The order of return follows federal priority: unsubsidized loans, subsidized loans, Pell Grants, other grants.","If you received more financial aid than you were eligible for and then withdrew, you may be required to repay some of the aid. This situation is referred to as an overpayment, which can occur when a student completely withdraws from a payment period or period of enrollment. The school will determine the amount of Title IV funds you earned based on the time you spent in attendance, and if you received more aid than you earned, you may need to repay the excess amount.","federal-primary (priority 1)","",""
"M3-09","M3","Baseline-LLM","My school put me on academic probation — is that the same as losing my financial aid?","Not necessarily. Academic probation and financial aid SAP suspension are separate processes. A student can be on academic probation without losing federal aid if they still meet SAP standards. Conversely, a student can lose aid for failing SAP even if not on academic probation. The school determines both independently.","The context does not provide information about the relationship between academic probation and financial aid status. Therefore, I cannot answer your question.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-09","M3","RAG-Standard","My school put me on academic probation — is that the same as losing my financial aid?","Not necessarily. Academic probation and financial aid SAP suspension are separate processes. A student can be on academic probation without losing federal aid if they still meet SAP standards. Conversely, a student can lose aid for failing SAP even if not on academic probation. The school determines both independently.","No, being placed on academic probation by your school is not the same as losing your financial aid. Academic probation and financial aid probation are different statuses. However, if you do not meet the terms of financial aid probation, you may lose your financial aid eligibility in subsequent semesters.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-09","M3","RAG-AuthAware","My school put me on academic probation — is that the same as losing my financial aid?","Not necessarily. Academic probation and financial aid SAP suspension are separate processes. A student can be on academic probation without losing federal aid if they still meet SAP standards. Conversely, a student can lose aid for failing SAP even if not on academic probation. The school determines both independently.","No, being on academic probation is not the same as losing your financial aid. Academic probation is a status assigned by your school, while financial aid probation is a separate status related to your financial aid eligibility. You may be on both types of probation at the same time, but they are different. If you do not meet the terms of financial aid probation, then you may lose your financial aid in subsequent semesters.","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","",""
"M3-10","M3","Baseline-LLM","I'm getting married and my spouse has a lot of student loan debt — will that affect my financial aid?","For independent students, a spouse's income is included in the SAI calculation, which can reduce aid eligibility. However, a spouse's existing student loan debt does not directly reduce the SAI. The FAFSA collects household income and assets, not existing debt obligations.","The context does not provide specific information about how your spouse's student loan debt will affect your financial aid. Therefore, I cannot answer your question clearly.","federal-primary (priority 1)","",""
"M3-10","M3","RAG-Standard","I'm getting married and my spouse has a lot of student loan debt — will that affect my financial aid?","For independent students, a spouse's income is included in the SAI calculation, which can reduce aid eligibility. However, a spouse's existing student loan debt does not directly reduce the SAI. The FAFSA collects household income and assets, not existing debt obligations.","The context provided does not contain specific information about how your spouse's student loan debt will affect your financial aid. Therefore, I cannot answer your question clearly based on the information available.","federal-primary (priority 1)","",""
"M3-10","M3","RAG-AuthAware","I'm getting married and my spouse has a lot of student loan debt — will that affect my financial aid?","For independent students, a spouse's income is included in the SAI calculation, which can reduce aid eligibility. However, a spouse's existing student loan debt does not directly reduce the SAI. The FAFSA collects household income and assets, not existing debt obligations.","The context provided does not contain specific information about how your spouse's student loan debt will affect your financial aid. Therefore, I cannot answer your question clearly based on the information available.","federal-primary (priority 1)","",""
"C-01","C","Baseline-LLM","Does the government require me to pass 80% of my classes to keep my financial aid?","No. The federal SAP standard requires students to complete at least 67% of attempted credits cumulatively. An 80% requirement is above the federal floor and reflects institutional policy at some schools, such as the University of Washington.","The context does not provide information about specific requirements for passing classes to maintain financial aid. Therefore, I cannot answer your question.","federal-primary (priority 1) overrides institutional (priority 4)","",""
"C-01","C","RAG-Standard","Does the government require me to pass 80% of my classes to keep my financial aid?","No. The federal SAP standard requires students to complete at least 67% of attempted credits cumulatively. An 80% requirement is above the federal floor and reflects institutional policy at some schools, such as the University of Washington.","The context provided does not contain information regarding specific requirements for passing a certain percentage of classes to maintain financial aid. Therefore, I cannot answer your question based on the information available.","federal-primary (priority 1) overrides institutional (priority 4)","",""
"C-01","C","RAG-AuthAware","Does the government require me to pass 80% of my classes to keep my financial aid?","No. The federal SAP standard requires students to complete at least 67% of attempted credits cumulatively. An 80% requirement is above the federal floor and reflects institutional policy at some schools, such as the University of Washington.","The provided context does not contain information regarding specific requirements for passing a certain percentage of classes to maintain financial aid. Therefore, I cannot answer your question based on the available information.","federal-primary (priority 1) overrides institutional (priority 4)","",""
"C-02","C","Baseline-LLM","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","The context does not provide information about a specific GPA requirement set by the federal government for students in education programs to keep their aid. Therefore, I cannot answer that question based on the provided information.","federal-primary (priority 1) overrides institutional (priority 4)","",""
"C-02","C","RAG-Standard","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","The context provided does not contain any information regarding a specific GPA requirement, such as a 2.5 GPA, for students in education programs to keep their federal aid. Therefore, I cannot answer that question based on the information available.","federal-primary (priority 1) overrides institutional (priority 4)","",""
"C-02","C","RAG-AuthAware","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","The context provided does not contain any information regarding GPA requirements for students in education programs to keep their federal aid. Therefore, I cannot answer that question.","federal-primary (priority 1) overrides institutional (priority 4)","",""
"C-03","C","Baseline-LLM","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","No. The federal SAP pace standard is 67% for all students regardless of how many credits they have attempted. A tiered or higher pace standard is an institutional policy. Pace University applies a 70% completion standard to students who have attempted 96 or more credits.","The context does not provide information about federal rules regarding the completion percentage of classes after taking a certain number of credits. Therefore, I cannot determine if this requirement is a federal rule.","federal-primary (priority 1) overrides institutional (priority 4)","",""
